CPT,LOCALITY,YEAR,NON_FAC_LC,OCSF_STANDARD_FEE
25085,03,2022,539.93,1143.0
25100,03,2022,424.12,1008.0
25101,03,2022,488.65,1130.0
25105,03,2022,585.66,1505.0
25107,03,2022,741.69,1242.0
25110,03,2022,417.31,846.0
25111,03,2022,387.64,1312.0
25112,03,2022,469.62,1093.0
25115,03,2022,908.62,3389.0
25116,03,2022,724.5,1801.0
25118,03,2022,459.68,2706.0
25119,03,2022,609.77,1736.0
25120,03,2022,604.63,1521.0
25125,03,2022,723.58,1820.0
25126,03,2022,729.48,1714.0
25130,03,2022,541.72,1050.0
25135,03,2022,680.4,1426.0
25136,03,2022,604.9,1231.0
25145,03,2022,632.9,1658.0
25150,03,2022,687.26,1421.0
25151,03,2022,707.09,1440.0
25170,03,2022,1794.43,2642.0
25210,03,2022,591.38,1265.0
25215,03,2022,745.89,2660.0
25230,03,2022,520.91,1771.0
25240,03,2022,516.8,1118.0
25248,03,2022,510.15,2030.0
25250,03,2022,649.6,660.0
25251,03,2022,876.3,2310.0
25259,03,2022,511.27,1213.0
25260,03,2022,764.39,3226.0
25263,03,2022,770.07,1471.0
25265,03,2022,906.78,1927.0
25270,03,2022,595.28,1540.0
25272,03,2022,680.94,1214.0
25274,03,2022,802.2,2189.0
25275,03,2022,811.5,2178.0
25280,03,2022,683.74,3080.0
25290,03,2022,525.01,2420.0
25295,03,2022,635.27,2614.0
25300,03,2022,838.65,1858.0
25301,03,2022,775.99,1702.0
25310,03,2022,746.76,3198.0
25312,03,2022,865.11,2054.0
25315,03,2022,938.83,1918.0
25316,03,2022,1118.26,2328.0
25320,03,2022,1181.94,2980.0
25332,03,2022,1021.89,2049.0
25335,03,2022,1153.98,3345.0
25337,03,2022,1064.98,3182.0
25350,03,2022,814.8,3335.0
25355,03,2022,932.94,2202.0
25360,03,2022,793.34,1971.0
25365,03,2022,1119.39,3960.0
25390,03,2022,929.36,3661.0
25391,03,2022,1216.62,2637.0
25394,03,2022,956.07,4400.0
25400,03,2022,973.03,2248.0
25405,03,2022,1259.3,2695.0
25415,03,2022,1182.35,2200.0
25430,03,2022,889.93,2336.0
25431,03,2022,959.48,4400.0
25440,03,2022,926.87,3850.0
25441,03,2022,1144.41,3960.0
25442,03,2022,977.41,3300.0
25443,03,2022,955.59,3410.0
25444,03,2022,1002.54,3300.0
25445,03,2022,868.89,3080.0
25446,03,2022,1417.04,5060.0
25447,03,2022,1000.5,3520.0
25449,03,2022,1250.37,4510.0
25515,03,2022,810.54,2750.0
25525,03,2022,954.29,2395.0
25526,03,2022,1163.83,3363.0
25545,03,2022,754.71,2750.0
25574,03,2022,817.19,2157.0
25575,03,2022,1097.03,3300.0
25606,03,2022,807.74,2200.0
25607,03,2022,891.55,4400.0
25608,03,2022,1001.04,4620.0
25609,03,2022,1271.26,5830.0
